"URI de la canción","Nombre de la canción","URI(s) del artista","Nombre(s) del artista","URI del álbum","Nombre del álbum","URI(s) del artista del álbum","Nombre(s) del artista del álbum","Fecha de lanzamiento del álbum","URL de la imagen del álbum","Número de disco","Número de la canción","Duración de la canción (ms)","URL de vista previa de la canción","Explícito","Popularidad","ISRC","Añadido por","Añadido en"
"spotify:track:62oNfnQqObaqARM0DTibAL","N.I.B.","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","spotify:album:2T6jeELx5BqH4GMLObBy10","Black Sabbath (2009 Remastered Version)","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","1970-02-13","https://i.scdn.co/image/ab67616d0000b2731311a92b0ca83a5154c5a5e7","1","4","364493","https://p.scdn.co/mp3-preview/87268a52252a1676991671848f3d3f396a4e2682?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","GBAJE7000079","spotify:user:hsuarezcellucci","2021-05-17T15:30:52Z"
"spotify:track:4n4W0yJsGYXzFwStMYMLxj","You're All I Need","spotify:artist:0cc6vw3VN8YlIcvr1v7tBL","Mötley Crüe","spotify:album:0Tnve4bDxyiBCRaj03qO8z","Girls, Girls, Girls","spotify:artist:0cc6vw3VN8YlIcvr1v7tBL","Mötley Crüe","1987","https://i.scdn.co/image/ab67616d0000b273a226e31b10f88c83e00e828a","1","9","275466","https://p.scdn.co/mp3-preview/f36c7494b489b44e03ad5db390fa4421d09c8a56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USBY29900197","spotify:user:hsuarezcellucci","2021-05-17T15:35:06Z"
"spotify:track:6i7IXg8j7ZngiEOgBYjkhw","Sweating Bullets - Remastered 2004","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","spotify:album:1w9opfGdFtR3ulNHxnnO1e","Countdown To Extinction (Expanded Edition - Remastered)","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","1992-07-14","https://i.scdn.co/image/ab67616d0000b2737b178f928742be1492c6fba2","1","5","327040","https://p.scdn.co/mp3-preview/32e79c297bd29a6b0a9c28c32e61029ba028a806?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USCA20400622","spotify:user:hsuarezcellucci","2021-05-17T15:36:34Z"
"spotify:track:5LO0sJCkNMZYLYeGOvblLu","In My Darkest Hour - Remastered 2004","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","spotify:album:5f4vbRLrRmoDH0zpdQnyrE","So Far, So Good...So What! (Expanded Edition - Remastered)","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","1988-01-26","https://i.scdn.co/image/ab67616d0000b273e949e0e6c9eac438a68f5b37","1","6","386600","https://p.scdn.co/mp3-preview/f37412c6cee41fc7040e3b241d70a9e4e74bf451?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USCA20400607","spotify:user:hsuarezcellucci","2021-05-17T15:37:07Z"
"spotify:track:0ReFWCnSnbwwYwBuPEqBYi","Got Me on the Line","spotify:artist:3tufWJzpCiAGleBt5TkmTn","Ratt","spotify:album:7CzsLoFBEMElxviJoApcAI","Invasion of Your Privacy","spotify:artist:3tufWJzpCiAGleBt5TkmTn","Ratt","1985","https://i.scdn.co/image/ab67616d0000b27371039cc45b8ec2b05b930192","1","8","185800","https://p.scdn.co/mp3-preview/9cb26d0e9da8000c23dab09c4d95a0ab29cd1727?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USAT20901948","spotify:user:hsuarezcellucci","2021-05-17T15:41:09Z"
"spotify:track:6gZVQvQZOFpzIy3HblJ20F","Man in the Box","spotify:artist:64tNsm6TnZe2zpcMVMOoHL","Alice In Chains","spotify:album:5LbHbwejgZXRZAgzVAjkhj","Facelift","spotify:artist:64tNsm6TnZe2zpcMVMOoHL","Alice In Chains","1990-08-01","https://i.scdn.co/image/ab67616d0000b2733cf83c82a8e976d7b51e2d00","1","2","285200","https://p.scdn.co/mp3-preview/d462c686765709d2124f0d555282ecd0325ee71b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USSM19000727","spotify:user:hsuarezcellucci","2021-05-17T15:41:42Z"
"spotify:track:6jtUOVRO4p09Z7E35ERRL7","Demon Fire","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:3bTNxJYk2bwdWBMtrjBxb0","POWER UP","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","2020-11-13","https://i.scdn.co/image/ab67616d0000b2736ee202215547101d947d4b9f","1","7","210361","https://p.scdn.co/mp3-preview/29a797a8ea096a8785bf7bfd8978f15d00616b0b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USSM11914747","spotify:user:hsuarezcellucci","2021-05-17T15:42:09Z"
"spotify:track:5WwqdeavrQrbeAMDxGawse","Can't Fight This Feeling","spotify:artist:55vs7NT1KxcFjbMC4y202E","REO Speedwagon","spotify:album:35KafpmKh0nDLzBLV75MpR","Wheels Are Turnin'","spotify:artist:55vs7NT1KxcFjbMC4y202E","REO Speedwagon","1984-11-05","https://i.scdn.co/image/ab67616d0000b273b815265c56ecfa5136a4015d","1","6","294773","https://p.scdn.co/mp3-preview/47811ce4b58e8fb058e13bdfb21225aa357a5c9f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USSM18400442","spotify:user:hsuarezcellucci","2021-05-17T15:42:23Z"
"spotify:track:2SiXAy7TuUkycRVbbWDEpo","You Shook Me All Night Long","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:6mUdeDZCsExyJLMdAfDuwh","Back In Black","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","1980-07-25","https://i.scdn.co/image/ab67616d0000b273ff191d7fbdb5a13eaf84132b","1","7","210328","https://p.scdn.co/mp3-preview/f70ff70c98a8bee61b209dabc273e60936cde548?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","AUAP08000047","spotify:user:hsuarezcellucci","2021-05-17T15:45:04Z"
"spotify:track:1wfDvLRSQVFEWC7nfE6C4L","Poison girl","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","spotify:album:36tz5XLSdscEvXvzWQwSXv","Razorblade Romance","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","1999-11-15","https://i.scdn.co/image/ab67616d0000b273a8cfc41719dc2c2028e0aad5","1","2","231333","https://p.scdn.co/mp3-preview/4ab770b31d35fc73fb9e168f6056b1b4357e2026?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","FIBAR9900311","spotify:user:hsuarezcellucci","2021-05-17T15:46:04Z"
